[Log] Setting target position: – {x: 1218.9219367588921, y: 755.3685770751} (bundle.js, line 1)
[Log] Finding path from (1025.5, 901.8) to (1218.9, 755.4) (bundle.js, line 1)
[Log]   -> Neighbor (1025,901) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1025,903) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1027,901) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1027,903) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1026,900) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1028,900) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1028,902) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1027,899) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1029,899) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1029,901) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1028,898) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1030,898) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1030,900) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1029,897) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1031,897) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1031,899) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1030,896) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1032,896) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1032,898) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1031,895) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1033,895) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1033,897) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1032,894) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1034,894) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1034,896) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1033,893) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1035,893) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1035,895) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1034,892) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1036,892) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1036,894) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1035,891) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1037,891) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1037,893) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1036,890) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1038,890) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1038,892) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1037,889) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1039,889) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1039,891) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1038,888) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1040,888) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1040,890) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1039,887) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1041,887) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1041,889) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1026,901) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1026,903) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1028,901) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1028,903) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1040,886) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1042,886) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1042,888) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1027,900) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1029,900) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1029,902) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1041,885) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1043,885) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1043,887) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1028,899) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
